Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.451208
data/Set68/test002.png PSNR 26.180461
data/Set68/test003.png PSNR 25.161752
data/Set68/test004.png PSNR 25.691083
data/Set68/test005.png PSNR 25.029445
data/Set68/test006.png PSNR 26.164758
data/Set68/test007.png PSNR 25.644020
data/Set68/test008.png PSNR 24.369159
data/Set68/test009.png PSNR 26.080126
data/Set68/test010.png PSNR 25.157288
data/Set68/test011.png PSNR 25.944680
data/Set68/test012.png PSNR 24.960052
data/Set68/test013.png PSNR 24.923875
data/Set68/test014.png PSNR 25.479937
data/Set68/test015.png PSNR 24.777522
data/Set68/test016.png PSNR 25.507988
data/Set68/test017.png PSNR 26.712029
data/Set68/test018.png PSNR 25.788222
data/Set68/test019.png PSNR 25.063938
data/Set68/test020.png PSNR 24.869677
data/Set68/test021.png PSNR 24.519661
data/Set68/test022.png PSNR 25.098129
data/Set68/test023.png PSNR 25.139466
data/Set68/test024.png PSNR 26.372858
data/Set68/test025.png PSNR 25.513539
data/Set68/test026.png PSNR 25.349376
data/Set68/test027.png PSNR 25.603172
data/Set68/test028.png PSNR 30.319628
data/Set68/test029.png PSNR 22.814739
data/Set68/test030.png PSNR 24.750889
data/Set68/test031.png PSNR 23.245116
data/Set68/test032.png PSNR 24.464089
data/Set68/test033.png PSNR 24.269354
data/Set68/test034.png PSNR 26.470313
data/Set68/test035.png PSNR 25.408724
data/Set68/test036.png PSNR 24.264000
data/Set68/test037.png PSNR 25.170801
data/Set68/test038.png PSNR 25.495953
data/Set68/test039.png PSNR 26.300638
data/Set68/test040.png PSNR 25.260063
data/Set68/test041.png PSNR 25.564653
data/Set68/test042.png PSNR 25.262525
data/Set68/test043.png PSNR 26.186506
data/Set68/test044.png PSNR 24.610530
data/Set68/test045.png PSNR 25.153126
data/Set68/test046.png PSNR 24.289475
data/Set68/test047.png PSNR 24.198765
data/Set68/test048.png PSNR 26.220562
data/Set68/test049.png PSNR 26.091784
data/Set68/test050.png PSNR 24.577735
data/Set68/test051.png PSNR 24.583353
data/Set68/test052.png PSNR 25.958456
data/Set68/test053.png PSNR 24.804406
data/Set68/test054.png PSNR 25.191484
data/Set68/test055.png PSNR 25.163616
data/Set68/test056.png PSNR 22.790144
data/Set68/test057.png PSNR 25.035485
data/Set68/test058.png PSNR 24.578299
data/Set68/test059.png PSNR 25.457905
data/Set68/test060.png PSNR 25.164191
data/Set68/test061.png PSNR 25.472504
data/Set68/test062.png PSNR 29.135815
data/Set68/test063.png PSNR 24.424197
data/Set68/test064.png PSNR 24.636416
data/Set68/test065.png PSNR 26.503350
data/Set68/test066.png PSNR 24.976373
data/Set68/test067.png PSNR 23.396563
data/Set68/test068.png PSNR 24.312625

PSNR on test data 25.257773
