Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 10.797369
data/Set68/test002.png PSNR 9.460293
data/Set68/test003.png PSNR 10.490210
data/Set68/test004.png PSNR 11.352836
data/Set68/test005.png PSNR 8.877327
data/Set68/test006.png PSNR 9.176922
data/Set68/test007.png PSNR 11.509789
data/Set68/test008.png PSNR 11.657674
data/Set68/test009.png PSNR 12.182222
data/Set68/test010.png PSNR 10.990321
data/Set68/test011.png PSNR 10.442798
data/Set68/test012.png PSNR 11.068424
data/Set68/test013.png PSNR 10.413339
data/Set68/test014.png PSNR 11.186738
data/Set68/test015.png PSNR 11.000443
data/Set68/test016.png PSNR 10.374064
data/Set68/test017.png PSNR 12.044951
data/Set68/test018.png PSNR 11.496789
data/Set68/test019.png PSNR 10.376037
data/Set68/test020.png PSNR 10.651106
data/Set68/test021.png PSNR 10.053204
data/Set68/test022.png PSNR 10.892675
data/Set68/test023.png PSNR 9.428979
data/Set68/test024.png PSNR 11.060809
data/Set68/test025.png PSNR 11.219551
data/Set68/test026.png PSNR 10.602760
data/Set68/test027.png PSNR 11.621398
data/Set68/test028.png PSNR 10.605537
data/Set68/test029.png PSNR 10.169326
data/Set68/test030.png PSNR 10.369627
data/Set68/test031.png PSNR 10.543265
data/Set68/test032.png PSNR 10.458777
data/Set68/test033.png PSNR 9.912090
data/Set68/test034.png PSNR 10.018175
data/Set68/test035.png PSNR 11.356124
data/Set68/test036.png PSNR 10.074578
data/Set68/test037.png PSNR 10.162206
data/Set68/test038.png PSNR 11.413217
data/Set68/test039.png PSNR 10.688738
data/Set68/test040.png PSNR 10.085225
data/Set68/test041.png PSNR 11.203468
data/Set68/test042.png PSNR 10.715541
data/Set68/test043.png PSNR 11.126554
data/Set68/test044.png PSNR 10.098020
data/Set68/test045.png PSNR 10.707654
data/Set68/test046.png PSNR 9.999997
data/Set68/test047.png PSNR 10.487273
data/Set68/test048.png PSNR 9.844139
data/Set68/test049.png PSNR 10.206705
data/Set68/test050.png PSNR 9.289649
data/Set68/test051.png PSNR 10.149440
data/Set68/test052.png PSNR 9.147003
data/Set68/test053.png PSNR 9.384415
data/Set68/test054.png PSNR 9.829839
data/Set68/test055.png PSNR 11.179399
data/Set68/test056.png PSNR 9.386751
data/Set68/test057.png PSNR 11.476182
data/Set68/test058.png PSNR 10.139255
data/Set68/test059.png PSNR 11.083999
data/Set68/test060.png PSNR 10.893281
data/Set68/test061.png PSNR 11.372355
data/Set68/test062.png PSNR 12.036760
data/Set68/test063.png PSNR 10.828297
data/Set68/test064.png PSNR 10.540413
data/Set68/test065.png PSNR 11.703954
data/Set68/test066.png PSNR 10.447737
data/Set68/test067.png PSNR 9.817485
data/Set68/test068.png PSNR 9.866469

PSNR on test data 10.577176
