Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.776743
data/Set68/test002.png PSNR 27.674153
data/Set68/test003.png PSNR 27.483775
data/Set68/test004.png PSNR 27.385684
data/Set68/test005.png PSNR 25.757846
data/Set68/test006.png PSNR 29.439501
data/Set68/test007.png PSNR 26.498473
data/Set68/test008.png PSNR 25.032985
data/Set68/test009.png PSNR 27.095152
data/Set68/test010.png PSNR 27.096165
data/Set68/test011.png PSNR 26.902612
data/Set68/test012.png PSNR 26.175160
data/Set68/test013.png PSNR 26.640923
data/Set68/test014.png PSNR 27.714417
data/Set68/test015.png PSNR 25.832344
data/Set68/test016.png PSNR 26.200037
data/Set68/test017.png PSNR 29.324332
data/Set68/test018.png PSNR 28.763470
data/Set68/test019.png PSNR 26.222139
data/Set68/test020.png PSNR 26.929482
data/Set68/test021.png PSNR 25.151893
data/Set68/test022.png PSNR 25.664699
data/Set68/test023.png PSNR 26.706864
data/Set68/test024.png PSNR 26.858355
data/Set68/test025.png PSNR 27.294235
data/Set68/test026.png PSNR 26.562079
data/Set68/test027.png PSNR 27.271184
data/Set68/test028.png PSNR 30.513042
data/Set68/test029.png PSNR 22.918202
data/Set68/test030.png PSNR 26.925097
data/Set68/test031.png PSNR 23.562936
data/Set68/test032.png PSNR 25.122101
data/Set68/test033.png PSNR 25.882872
data/Set68/test034.png PSNR 29.580659
data/Set68/test035.png PSNR 26.495243
data/Set68/test036.png PSNR 26.310702
data/Set68/test037.png PSNR 27.022725
data/Set68/test038.png PSNR 26.820957
data/Set68/test039.png PSNR 28.402269
data/Set68/test040.png PSNR 27.116387
data/Set68/test041.png PSNR 26.353844
data/Set68/test042.png PSNR 27.433933
data/Set68/test043.png PSNR 27.709382
data/Set68/test044.png PSNR 25.812932
data/Set68/test045.png PSNR 28.764240
data/Set68/test046.png PSNR 25.069565
data/Set68/test047.png PSNR 25.048508
data/Set68/test048.png PSNR 27.269828
data/Set68/test049.png PSNR 28.673650
data/Set68/test050.png PSNR 25.530673
data/Set68/test051.png PSNR 26.463399
data/Set68/test052.png PSNR 29.183532
data/Set68/test053.png PSNR 28.075134
data/Set68/test054.png PSNR 26.793928
data/Set68/test055.png PSNR 26.047711
data/Set68/test056.png PSNR 22.981372
data/Set68/test057.png PSNR 26.517655
data/Set68/test058.png PSNR 27.826449
data/Set68/test059.png PSNR 28.070349
data/Set68/test060.png PSNR 27.879209
data/Set68/test061.png PSNR 27.590235
data/Set68/test062.png PSNR 30.464559
data/Set68/test063.png PSNR 24.931356
data/Set68/test064.png PSNR 25.499219
data/Set68/test065.png PSNR 27.374920
data/Set68/test066.png PSNR 29.715439
data/Set68/test067.png PSNR 23.793668
data/Set68/test068.png PSNR 24.845752

PSNR on test data 26.806593
