Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.890806
data/Set68/test002.png PSNR 28.941449
data/Set68/test003.png PSNR 28.713387
data/Set68/test004.png PSNR 29.670005
data/Set68/test005.png PSNR 26.329265
data/Set68/test006.png PSNR 31.663088
data/Set68/test007.png PSNR 27.861267
data/Set68/test008.png PSNR 25.380515
data/Set68/test009.png PSNR 28.181654
data/Set68/test010.png PSNR 28.832153
data/Set68/test011.png PSNR 27.893855
data/Set68/test012.png PSNR 27.500557
data/Set68/test013.png PSNR 28.624279
data/Set68/test014.png PSNR 29.616345
data/Set68/test015.png PSNR 26.294983
data/Set68/test016.png PSNR 27.384971
data/Set68/test017.png PSNR 31.944948
data/Set68/test018.png PSNR 31.901419
data/Set68/test019.png PSNR 26.531201
data/Set68/test020.png PSNR 27.761358
data/Set68/test021.png PSNR 25.495570
data/Set68/test022.png PSNR 26.243363
data/Set68/test023.png PSNR 27.792702
data/Set68/test024.png PSNR 27.957137
data/Set68/test025.png PSNR 28.683131
data/Set68/test026.png PSNR 27.597914
data/Set68/test027.png PSNR 29.234525
data/Set68/test028.png PSNR 31.080941
data/Set68/test029.png PSNR 22.710928
data/Set68/test030.png PSNR 29.005207
data/Set68/test031.png PSNR 23.654546
data/Set68/test032.png PSNR 25.920545
data/Set68/test033.png PSNR 26.608320
data/Set68/test034.png PSNR 32.389996
data/Set68/test035.png PSNR 27.257142
data/Set68/test036.png PSNR 26.585367
data/Set68/test037.png PSNR 27.434896
data/Set68/test038.png PSNR 28.111452
data/Set68/test039.png PSNR 31.908470
data/Set68/test040.png PSNR 28.438071
data/Set68/test041.png PSNR 26.840654
data/Set68/test042.png PSNR 28.479855
data/Set68/test043.png PSNR 29.536428
data/Set68/test044.png PSNR 26.402415
data/Set68/test045.png PSNR 32.035292
data/Set68/test046.png PSNR 25.372186
data/Set68/test047.png PSNR 25.886831
data/Set68/test048.png PSNR 28.745578
data/Set68/test049.png PSNR 30.238873
data/Set68/test050.png PSNR 25.800166
data/Set68/test051.png PSNR 27.550911
data/Set68/test052.png PSNR 30.736948
data/Set68/test053.png PSNR 29.965994
data/Set68/test054.png PSNR 28.359348
data/Set68/test055.png PSNR 26.696003
data/Set68/test056.png PSNR 22.561676
data/Set68/test057.png PSNR 27.213127
data/Set68/test058.png PSNR 29.871787
data/Set68/test059.png PSNR 29.334118
data/Set68/test060.png PSNR 30.164700
data/Set68/test061.png PSNR 28.727434
data/Set68/test062.png PSNR 32.566859
data/Set68/test063.png PSNR 25.614919
data/Set68/test064.png PSNR 25.829575
data/Set68/test065.png PSNR 28.216981
data/Set68/test066.png PSNR 36.234776
data/Set68/test067.png PSNR 23.995527
data/Set68/test068.png PSNR 24.728448

PSNR on test data 28.054928
