Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.673281
data/Set68/test002.png PSNR 28.662885
data/Set68/test003.png PSNR 27.936597
data/Set68/test004.png PSNR 28.751792
data/Set68/test005.png PSNR 26.393919
data/Set68/test006.png PSNR 30.880656
data/Set68/test007.png PSNR 27.303515
data/Set68/test008.png PSNR 25.234861
data/Set68/test009.png PSNR 27.572942
data/Set68/test010.png PSNR 28.183132
data/Set68/test011.png PSNR 26.717947
data/Set68/test012.png PSNR 26.879167
data/Set68/test013.png PSNR 27.834794
data/Set68/test014.png PSNR 29.042499
data/Set68/test015.png PSNR 26.121585
data/Set68/test016.png PSNR 26.798623
data/Set68/test017.png PSNR 30.471153
data/Set68/test018.png PSNR 30.570197
data/Set68/test019.png PSNR 26.391568
data/Set68/test020.png PSNR 27.118518
data/Set68/test021.png PSNR 24.985530
data/Set68/test022.png PSNR 25.715442
data/Set68/test023.png PSNR 27.377666
data/Set68/test024.png PSNR 27.150591
data/Set68/test025.png PSNR 28.249891
data/Set68/test026.png PSNR 27.262593
data/Set68/test027.png PSNR 28.366415
data/Set68/test028.png PSNR 30.572186
data/Set68/test029.png PSNR 22.344708
data/Set68/test030.png PSNR 27.970429
data/Set68/test031.png PSNR 23.402513
data/Set68/test032.png PSNR 25.483031
data/Set68/test033.png PSNR 26.119231
data/Set68/test034.png PSNR 31.152204
data/Set68/test035.png PSNR 26.918882
data/Set68/test036.png PSNR 26.496808
data/Set68/test037.png PSNR 27.150293
data/Set68/test038.png PSNR 27.566368
data/Set68/test039.png PSNR 30.292426
data/Set68/test040.png PSNR 27.909873
data/Set68/test041.png PSNR 26.420229
data/Set68/test042.png PSNR 27.953650
data/Set68/test043.png PSNR 28.549417
data/Set68/test044.png PSNR 25.846231
data/Set68/test045.png PSNR 30.772713
data/Set68/test046.png PSNR 25.336797
data/Set68/test047.png PSNR 25.549027
data/Set68/test048.png PSNR 28.024931
data/Set68/test049.png PSNR 30.171370
data/Set68/test050.png PSNR 25.747191
data/Set68/test051.png PSNR 26.951200
data/Set68/test052.png PSNR 30.391946
data/Set68/test053.png PSNR 29.299363
data/Set68/test054.png PSNR 27.747860
data/Set68/test055.png PSNR 26.382786
data/Set68/test056.png PSNR 22.940811
data/Set68/test057.png PSNR 27.046170
data/Set68/test058.png PSNR 29.231060
data/Set68/test059.png PSNR 28.912570
data/Set68/test060.png PSNR 29.371643
data/Set68/test061.png PSNR 28.297728
data/Set68/test062.png PSNR 30.666692
data/Set68/test063.png PSNR 25.223183
data/Set68/test064.png PSNR 25.767454
data/Set68/test065.png PSNR 27.622745
data/Set68/test066.png PSNR 32.833854
data/Set68/test067.png PSNR 23.748244
data/Set68/test068.png PSNR 24.628233

PSNR on test data 27.462674
