Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.230679
data/Set68/test002.png PSNR 28.447292
data/Set68/test003.png PSNR 27.893706
data/Set68/test004.png PSNR 28.976708
data/Set68/test005.png PSNR 26.163112
data/Set68/test006.png PSNR 31.020250
data/Set68/test007.png PSNR 27.202737
data/Set68/test008.png PSNR 24.724902
data/Set68/test009.png PSNR 27.431817
data/Set68/test010.png PSNR 28.238030
data/Set68/test011.png PSNR 26.720595
data/Set68/test012.png PSNR 26.947388
data/Set68/test013.png PSNR 28.098691
data/Set68/test014.png PSNR 28.894471
data/Set68/test015.png PSNR 25.784583
data/Set68/test016.png PSNR 26.764293
data/Set68/test017.png PSNR 30.845983
data/Set68/test018.png PSNR 30.756756
data/Set68/test019.png PSNR 25.966074
data/Set68/test020.png PSNR 26.837702
data/Set68/test021.png PSNR 24.661196
data/Set68/test022.png PSNR 25.485631
data/Set68/test023.png PSNR 27.218441
data/Set68/test024.png PSNR 27.082210
data/Set68/test025.png PSNR 28.012559
data/Set68/test026.png PSNR 26.969821
data/Set68/test027.png PSNR 28.467157
data/Set68/test028.png PSNR 30.329221
data/Set68/test029.png PSNR 21.855877
data/Set68/test030.png PSNR 28.399325
data/Set68/test031.png PSNR 22.953821
data/Set68/test032.png PSNR 25.470291
data/Set68/test033.png PSNR 25.869477
data/Set68/test034.png PSNR 31.679280
data/Set68/test035.png PSNR 26.615175
data/Set68/test036.png PSNR 26.073288
data/Set68/test037.png PSNR 26.719142
data/Set68/test038.png PSNR 27.480842
data/Set68/test039.png PSNR 31.181755
data/Set68/test040.png PSNR 27.691365
data/Set68/test041.png PSNR 26.006221
data/Set68/test042.png PSNR 27.655175
data/Set68/test043.png PSNR 28.827539
data/Set68/test044.png PSNR 25.603416
data/Set68/test045.png PSNR 31.221106
data/Set68/test046.png PSNR 24.912248
data/Set68/test047.png PSNR 25.310638
data/Set68/test048.png PSNR 28.098641
data/Set68/test049.png PSNR 30.023275
data/Set68/test050.png PSNR 25.287407
data/Set68/test051.png PSNR 26.780599
data/Set68/test052.png PSNR 30.483056
data/Set68/test053.png PSNR 29.440234
data/Set68/test054.png PSNR 27.828655
data/Set68/test055.png PSNR 26.030995
data/Set68/test056.png PSNR 22.250719
data/Set68/test057.png PSNR 26.570606
data/Set68/test058.png PSNR 29.296623
data/Set68/test059.png PSNR 28.714786
data/Set68/test060.png PSNR 29.307782
data/Set68/test061.png PSNR 28.012790
data/Set68/test062.png PSNR 31.136382
data/Set68/test063.png PSNR 24.973739
data/Set68/test064.png PSNR 25.382082
data/Set68/test065.png PSNR 27.482244
data/Set68/test066.png PSNR 34.727360
data/Set68/test067.png PSNR 23.258400
data/Set68/test068.png PSNR 24.031967

PSNR on test data 27.364946
