Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 7.860158
data/Set68/test002.png PSNR 9.011627
data/Set68/test003.png PSNR 8.339465
data/Set68/test004.png PSNR 7.850623
data/Set68/test005.png PSNR 9.928479
data/Set68/test006.png PSNR 9.637696
data/Set68/test007.png PSNR 7.636302
data/Set68/test008.png PSNR 7.462120
data/Set68/test009.png PSNR 7.274446
data/Set68/test010.png PSNR 8.074753
data/Set68/test011.png PSNR 7.906601
data/Set68/test012.png PSNR 7.949407
data/Set68/test013.png PSNR 8.498987
data/Set68/test014.png PSNR 7.862131
data/Set68/test015.png PSNR 7.776334
data/Set68/test016.png PSNR 7.968203
data/Set68/test017.png PSNR 7.430261
data/Set68/test018.png PSNR 7.859054
data/Set68/test019.png PSNR 8.170783
data/Set68/test020.png PSNR 8.114353
data/Set68/test021.png PSNR 7.970758
data/Set68/test022.png PSNR 7.733240
data/Set68/test023.png PSNR 9.213335
data/Set68/test024.png PSNR 7.625634
data/Set68/test025.png PSNR 7.803228
data/Set68/test026.png PSNR 8.170827
data/Set68/test027.png PSNR 7.730531
data/Set68/test028.png PSNR 7.609587
data/Set68/test029.png PSNR 7.850835
data/Set68/test030.png PSNR 8.479587
data/Set68/test031.png PSNR 7.945740
data/Set68/test032.png PSNR 8.198844
data/Set68/test033.png PSNR 8.575281
data/Set68/test034.png PSNR 8.710706
data/Set68/test035.png PSNR 7.687061
data/Set68/test036.png PSNR 8.809333
data/Set68/test037.png PSNR 8.597049
data/Set68/test038.png PSNR 7.810371
data/Set68/test039.png PSNR 8.187282
data/Set68/test040.png PSNR 8.475164
data/Set68/test041.png PSNR 7.641777
data/Set68/test042.png PSNR 8.155642
data/Set68/test043.png PSNR 7.705566
data/Set68/test044.png PSNR 8.572862
data/Set68/test045.png PSNR 8.438736
data/Set68/test046.png PSNR 8.355921
data/Set68/test047.png PSNR 8.253832
data/Set68/test048.png PSNR 8.284140
data/Set68/test049.png PSNR 8.648436
data/Set68/test050.png PSNR 9.322139
data/Set68/test051.png PSNR 8.241308
data/Set68/test052.png PSNR 9.766866
data/Set68/test053.png PSNR 9.668128
data/Set68/test054.png PSNR 8.816554
data/Set68/test055.png PSNR 7.710650
data/Set68/test056.png PSNR 8.984226
data/Set68/test057.png PSNR 7.809557
data/Set68/test058.png PSNR 8.888206
data/Set68/test059.png PSNR 8.019074
data/Set68/test060.png PSNR 8.255201
data/Set68/test061.png PSNR 7.840960
data/Set68/test062.png PSNR 6.988772
data/Set68/test063.png PSNR 7.887043
data/Set68/test064.png PSNR 8.147304
data/Set68/test065.png PSNR 7.367355
data/Set68/test066.png PSNR 8.540393
data/Set68/test067.png PSNR 8.156697
data/Set68/test068.png PSNR 8.324785

PSNR on test data 8.214534
