Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 8.987506
data/Set68/test002.png PSNR 9.400419
data/Set68/test003.png PSNR 9.243520
data/Set68/test004.png PSNR 9.077098
data/Set68/test005.png PSNR 9.705228
data/Set68/test006.png PSNR 9.753550
data/Set68/test007.png PSNR 8.912247
data/Set68/test008.png PSNR 8.831376
data/Set68/test009.png PSNR 8.762841
data/Set68/test010.png PSNR 9.180152
data/Set68/test011.png PSNR 8.951763
data/Set68/test012.png PSNR 9.036200
data/Set68/test013.png PSNR 9.363714
data/Set68/test014.png PSNR 9.014317
data/Set68/test015.png PSNR 8.991575
data/Set68/test016.png PSNR 8.918342
data/Set68/test017.png PSNR 8.994765
data/Set68/test018.png PSNR 9.135168
data/Set68/test019.png PSNR 9.081419
data/Set68/test020.png PSNR 9.107931
data/Set68/test021.png PSNR 8.901962
data/Set68/test022.png PSNR 8.938784
data/Set68/test023.png PSNR 9.554477
data/Set68/test024.png PSNR 8.937319
data/Set68/test025.png PSNR 9.043358
data/Set68/test026.png PSNR 9.175597
data/Set68/test027.png PSNR 9.028393
data/Set68/test028.png PSNR 9.020206
data/Set68/test029.png PSNR 8.807832
data/Set68/test030.png PSNR 9.294744
data/Set68/test031.png PSNR 8.921401
data/Set68/test032.png PSNR 9.069540
data/Set68/test033.png PSNR 9.263373
data/Set68/test034.png PSNR 9.403572
data/Set68/test035.png PSNR 8.978016
data/Set68/test036.png PSNR 9.427672
data/Set68/test037.png PSNR 9.420813
data/Set68/test038.png PSNR 9.027411
data/Set68/test039.png PSNR 9.200770
data/Set68/test040.png PSNR 9.213558
data/Set68/test041.png PSNR 8.952671
data/Set68/test042.png PSNR 9.169455
data/Set68/test043.png PSNR 8.945239
data/Set68/test044.png PSNR 9.322653
data/Set68/test045.png PSNR 9.295751
data/Set68/test046.png PSNR 9.055915
data/Set68/test047.png PSNR 9.148140
data/Set68/test048.png PSNR 9.038956
data/Set68/test049.png PSNR 9.399694
data/Set68/test050.png PSNR 9.581045
data/Set68/test051.png PSNR 9.037911
data/Set68/test052.png PSNR 9.817969
data/Set68/test053.png PSNR 9.836635
data/Set68/test054.png PSNR 9.398042
data/Set68/test055.png PSNR 8.883264
data/Set68/test056.png PSNR 9.312657
data/Set68/test057.png PSNR 8.999300
data/Set68/test058.png PSNR 9.532130
data/Set68/test059.png PSNR 9.107814
data/Set68/test060.png PSNR 9.197603
data/Set68/test061.png PSNR 9.003384
data/Set68/test062.png PSNR 8.628372
data/Set68/test063.png PSNR 8.960300
data/Set68/test064.png PSNR 9.109727
data/Set68/test065.png PSNR 8.886628
data/Set68/test066.png PSNR 9.353875
data/Set68/test067.png PSNR 8.887362
data/Set68/test068.png PSNR 9.125683

PSNR on test data 9.148031
