Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.683176
data/Set68/test002.png PSNR 26.663286
data/Set68/test003.png PSNR 26.498107
data/Set68/test004.png PSNR 26.243323
data/Set68/test005.png PSNR 25.486815
data/Set68/test006.png PSNR 27.516377
data/Set68/test007.png PSNR 26.106644
data/Set68/test008.png PSNR 24.973110
data/Set68/test009.png PSNR 26.753120
data/Set68/test010.png PSNR 26.045112
data/Set68/test011.png PSNR 26.132058
data/Set68/test012.png PSNR 25.451036
data/Set68/test013.png PSNR 25.405728
data/Set68/test014.png PSNR 26.619659
data/Set68/test015.png PSNR 25.541905
data/Set68/test016.png PSNR 25.872695
data/Set68/test017.png PSNR 27.495689
data/Set68/test018.png PSNR 27.155028
data/Set68/test019.png PSNR 25.496109
data/Set68/test020.png PSNR 25.697284
data/Set68/test021.png PSNR 24.752871
data/Set68/test022.png PSNR 25.366744
data/Set68/test023.png PSNR 26.051126
data/Set68/test024.png PSNR 26.325657
data/Set68/test025.png PSNR 26.586974
data/Set68/test026.png PSNR 25.922920
data/Set68/test027.png PSNR 26.239985
data/Set68/test028.png PSNR 29.943597
data/Set68/test029.png PSNR 22.940189
data/Set68/test030.png PSNR 25.344131
data/Set68/test031.png PSNR 23.419560
data/Set68/test032.png PSNR 24.557229
data/Set68/test033.png PSNR 25.066623
data/Set68/test034.png PSNR 27.953810
data/Set68/test035.png PSNR 26.002785
data/Set68/test036.png PSNR 25.055718
data/Set68/test037.png PSNR 26.137269
data/Set68/test038.png PSNR 26.175057
data/Set68/test039.png PSNR 26.733355
data/Set68/test040.png PSNR 26.099540
data/Set68/test041.png PSNR 25.806257
data/Set68/test042.png PSNR 26.444738
data/Set68/test043.png PSNR 26.885972
data/Set68/test044.png PSNR 25.251903
data/Set68/test045.png PSNR 26.522618
data/Set68/test046.png PSNR 24.815957
data/Set68/test047.png PSNR 24.391533
data/Set68/test048.png PSNR 26.822367
data/Set68/test049.png PSNR 27.499938
data/Set68/test050.png PSNR 25.237334
data/Set68/test051.png PSNR 25.353422
data/Set68/test052.png PSNR 27.052735
data/Set68/test053.png PSNR 26.215045
data/Set68/test054.png PSNR 25.946250
data/Set68/test055.png PSNR 25.787456
data/Set68/test056.png PSNR 23.193413
data/Set68/test057.png PSNR 25.757759
data/Set68/test058.png PSNR 25.852736
data/Set68/test059.png PSNR 26.582401
data/Set68/test060.png PSNR 26.136642
data/Set68/test061.png PSNR 26.709073
data/Set68/test062.png PSNR 28.422792
data/Set68/test063.png PSNR 24.536380
data/Set68/test064.png PSNR 24.972240
data/Set68/test065.png PSNR 26.434583
data/Set68/test066.png PSNR 26.171610
data/Set68/test067.png PSNR 23.711335
data/Set68/test068.png PSNR 24.914344

PSNR on test data 25.910886
