Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.688397
data/Set68/test002.png PSNR 28.754092
data/Set68/test003.png PSNR 28.529094
data/Set68/test004.png PSNR 29.362573
data/Set68/test005.png PSNR 26.474995
data/Set68/test006.png PSNR 31.202186
data/Set68/test007.png PSNR 27.551094
data/Set68/test008.png PSNR 25.217826
data/Set68/test009.png PSNR 27.720346
data/Set68/test010.png PSNR 28.707305
data/Set68/test011.png PSNR 27.114305
data/Set68/test012.png PSNR 27.378280
data/Set68/test013.png PSNR 28.483068
data/Set68/test014.png PSNR 29.266351
data/Set68/test015.png PSNR 26.129787
data/Set68/test016.png PSNR 26.920429
data/Set68/test017.png PSNR 30.634469
data/Set68/test018.png PSNR 30.805110
data/Set68/test019.png PSNR 26.373953
data/Set68/test020.png PSNR 27.285590
data/Set68/test021.png PSNR 25.034390
data/Set68/test022.png PSNR 25.778929
data/Set68/test023.png PSNR 27.729874
data/Set68/test024.png PSNR 27.285810
data/Set68/test025.png PSNR 28.218826
data/Set68/test026.png PSNR 27.426532
data/Set68/test027.png PSNR 28.716161
data/Set68/test028.png PSNR 30.494175
data/Set68/test029.png PSNR 22.637191
data/Set68/test030.png PSNR 28.811873
data/Set68/test031.png PSNR 23.486844
data/Set68/test032.png PSNR 25.748986
data/Set68/test033.png PSNR 26.453433
data/Set68/test034.png PSNR 31.477650
data/Set68/test035.png PSNR 26.915349
data/Set68/test036.png PSNR 26.264036
data/Set68/test037.png PSNR 27.141976
data/Set68/test038.png PSNR 27.783996
data/Set68/test039.png PSNR 31.253214
data/Set68/test040.png PSNR 28.052930
data/Set68/test041.png PSNR 26.473515
data/Set68/test042.png PSNR 28.231853
data/Set68/test043.png PSNR 29.032971
data/Set68/test044.png PSNR 26.212374
data/Set68/test045.png PSNR 31.299821
data/Set68/test046.png PSNR 25.382960
data/Set68/test047.png PSNR 25.728892
data/Set68/test048.png PSNR 28.445416
data/Set68/test049.png PSNR 30.145563
data/Set68/test050.png PSNR 25.793912
data/Set68/test051.png PSNR 27.183895
data/Set68/test052.png PSNR 30.615848
data/Set68/test053.png PSNR 29.570167
data/Set68/test054.png PSNR 28.024884
data/Set68/test055.png PSNR 26.424180
data/Set68/test056.png PSNR 22.899670
data/Set68/test057.png PSNR 26.999797
data/Set68/test058.png PSNR 29.447590
data/Set68/test059.png PSNR 28.812671
data/Set68/test060.png PSNR 29.511666
data/Set68/test061.png PSNR 28.478413
data/Set68/test062.png PSNR 30.569930
data/Set68/test063.png PSNR 25.375730
data/Set68/test064.png PSNR 25.655750
data/Set68/test065.png PSNR 27.508823
data/Set68/test066.png PSNR 34.244661
data/Set68/test067.png PSNR 23.791062
data/Set68/test068.png PSNR 24.728022

PSNR on test data 27.675021
