Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 25.318953
data/Set68/test002.png PSNR 29.588549
data/Set68/test003.png PSNR 29.375517
data/Set68/test004.png PSNR 30.409855
data/Set68/test005.png PSNR 26.857223
data/Set68/test006.png PSNR 32.444962
data/Set68/test007.png PSNR 28.368998
data/Set68/test008.png PSNR 25.694758
data/Set68/test009.png PSNR 28.690120
data/Set68/test010.png PSNR 29.598796
data/Set68/test011.png PSNR 28.367074
data/Set68/test012.png PSNR 28.210470
data/Set68/test013.png PSNR 29.242758
data/Set68/test014.png PSNR 30.239455
data/Set68/test015.png PSNR 27.072717
data/Set68/test016.png PSNR 27.778319
data/Set68/test017.png PSNR 32.519729
data/Set68/test018.png PSNR 32.397419
data/Set68/test019.png PSNR 27.330902
data/Set68/test020.png PSNR 28.482146
data/Set68/test021.png PSNR 25.936467
data/Set68/test022.png PSNR 26.826545
data/Set68/test023.png PSNR 28.505017
data/Set68/test024.png PSNR 28.529350
data/Set68/test025.png PSNR 28.910365
data/Set68/test026.png PSNR 28.292599
data/Set68/test027.png PSNR 29.705877
data/Set68/test028.png PSNR 32.995326
data/Set68/test029.png PSNR 23.314752
data/Set68/test030.png PSNR 29.855530
data/Set68/test031.png PSNR 23.837490
data/Set68/test032.png PSNR 26.404841
data/Set68/test033.png PSNR 27.295260
data/Set68/test034.png PSNR 33.190880
data/Set68/test035.png PSNR 27.686382
data/Set68/test036.png PSNR 26.934928
data/Set68/test037.png PSNR 27.929825
data/Set68/test038.png PSNR 28.751374
data/Set68/test039.png PSNR 32.805973
data/Set68/test040.png PSNR 29.019505
data/Set68/test041.png PSNR 27.366563
data/Set68/test042.png PSNR 29.181212
data/Set68/test043.png PSNR 30.365478
data/Set68/test044.png PSNR 26.606005
data/Set68/test045.png PSNR 32.676850
data/Set68/test046.png PSNR 25.998720
data/Set68/test047.png PSNR 26.192200
data/Set68/test048.png PSNR 29.723016
data/Set68/test049.png PSNR 31.023084
data/Set68/test050.png PSNR 26.333676
data/Set68/test051.png PSNR 28.151357
data/Set68/test052.png PSNR 31.654209
data/Set68/test053.png PSNR 30.829159
data/Set68/test054.png PSNR 28.868259
data/Set68/test055.png PSNR 27.318981
data/Set68/test056.png PSNR 23.243508
data/Set68/test057.png PSNR 27.718691
data/Set68/test058.png PSNR 30.427938
data/Set68/test059.png PSNR 29.681067
data/Set68/test060.png PSNR 30.623088
data/Set68/test061.png PSNR 29.811719
data/Set68/test062.png PSNR 33.691852
data/Set68/test063.png PSNR 25.968297
data/Set68/test064.png PSNR 26.310870
data/Set68/test065.png PSNR 28.717748
data/Set68/test066.png PSNR 36.636618
data/Set68/test067.png PSNR 24.307803
data/Set68/test068.png PSNR 25.548328

PSNR on test data 28.671960
