Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.824149
data/Set68/test002.png PSNR 29.035595
data/Set68/test003.png PSNR 28.734790
data/Set68/test004.png PSNR 29.739899
data/Set68/test005.png PSNR 26.381930
data/Set68/test006.png PSNR 31.860551
data/Set68/test007.png PSNR 27.706753
data/Set68/test008.png PSNR 25.112034
data/Set68/test009.png PSNR 28.131942
data/Set68/test010.png PSNR 28.929487
data/Set68/test011.png PSNR 27.625088
data/Set68/test012.png PSNR 27.579652
data/Set68/test013.png PSNR 28.623539
data/Set68/test014.png PSNR 29.637196
data/Set68/test015.png PSNR 26.407596
data/Set68/test016.png PSNR 27.056659
data/Set68/test017.png PSNR 31.984640
data/Set68/test018.png PSNR 31.718127
data/Set68/test019.png PSNR 26.884658
data/Set68/test020.png PSNR 27.742285
data/Set68/test021.png PSNR 25.217937
data/Set68/test022.png PSNR 26.161327
data/Set68/test023.png PSNR 27.751558
data/Set68/test024.png PSNR 27.820232
data/Set68/test025.png PSNR 28.320212
data/Set68/test026.png PSNR 27.784237
data/Set68/test027.png PSNR 29.043297
data/Set68/test028.png PSNR 32.258877
data/Set68/test029.png PSNR 22.703186
data/Set68/test030.png PSNR 29.179741
data/Set68/test031.png PSNR 23.233419
data/Set68/test032.png PSNR 25.713155
data/Set68/test033.png PSNR 26.604843
data/Set68/test034.png PSNR 32.417688
data/Set68/test035.png PSNR 27.170565
data/Set68/test036.png PSNR 26.727303
data/Set68/test037.png PSNR 27.491368
data/Set68/test038.png PSNR 28.106678
data/Set68/test039.png PSNR 31.836697
data/Set68/test040.png PSNR 28.389904
data/Set68/test041.png PSNR 26.817569
data/Set68/test042.png PSNR 28.476440
data/Set68/test043.png PSNR 29.659931
data/Set68/test044.png PSNR 25.987133
data/Set68/test045.png PSNR 31.972946
data/Set68/test046.png PSNR 25.381656
data/Set68/test047.png PSNR 25.598173
data/Set68/test048.png PSNR 28.863337
data/Set68/test049.png PSNR 30.573339
data/Set68/test050.png PSNR 25.771861
data/Set68/test051.png PSNR 27.531388
data/Set68/test052.png PSNR 31.069069
data/Set68/test053.png PSNR 30.281528
data/Set68/test054.png PSNR 28.159478
data/Set68/test055.png PSNR 26.695959
data/Set68/test056.png PSNR 22.657028
data/Set68/test057.png PSNR 27.287626
data/Set68/test058.png PSNR 29.991019
data/Set68/test059.png PSNR 29.278684
data/Set68/test060.png PSNR 30.033455
data/Set68/test061.png PSNR 29.283587
data/Set68/test062.png PSNR 32.707971
data/Set68/test063.png PSNR 25.394600
data/Set68/test064.png PSNR 25.855822
data/Set68/test065.png PSNR 28.129911
data/Set68/test066.png PSNR 35.747946
data/Set68/test067.png PSNR 23.693689
data/Set68/test068.png PSNR 24.884026

PSNR on test data 28.050499
