Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 15.667845
data/Set68/test002.png PSNR 15.477490
data/Set68/test003.png PSNR 15.470634
data/Set68/test004.png PSNR 15.460224
data/Set68/test005.png PSNR 15.426115
data/Set68/test006.png PSNR 15.426287
data/Set68/test007.png PSNR 15.562391
data/Set68/test008.png PSNR 15.660933
data/Set68/test009.png PSNR 16.663494
data/Set68/test010.png PSNR 15.425982
data/Set68/test011.png PSNR 16.281942
data/Set68/test012.png PSNR 15.439268
data/Set68/test013.png PSNR 15.471946
data/Set68/test014.png PSNR 15.576127
data/Set68/test015.png PSNR 15.911691
data/Set68/test016.png PSNR 15.474837
data/Set68/test017.png PSNR 17.013212
data/Set68/test018.png PSNR 15.759838
data/Set68/test019.png PSNR 15.806716
data/Set68/test020.png PSNR 16.189642
data/Set68/test021.png PSNR 16.208132
data/Set68/test022.png PSNR 16.012805
data/Set68/test023.png PSNR 15.439028
data/Set68/test024.png PSNR 16.788088
data/Set68/test025.png PSNR 15.561270
data/Set68/test026.png PSNR 15.479673
data/Set68/test027.png PSNR 15.574473
data/Set68/test028.png PSNR 18.795311
data/Set68/test029.png PSNR 15.573631
data/Set68/test030.png PSNR 15.457652
data/Set68/test031.png PSNR 15.568261
data/Set68/test032.png PSNR 15.460135
data/Set68/test033.png PSNR 15.726611
data/Set68/test034.png PSNR 15.520604
data/Set68/test035.png PSNR 15.835691
data/Set68/test036.png PSNR 15.346562
data/Set68/test037.png PSNR 15.671538
data/Set68/test038.png PSNR 15.669119
data/Set68/test039.png PSNR 15.423050
data/Set68/test040.png PSNR 15.430216
data/Set68/test041.png PSNR 16.297100
data/Set68/test042.png PSNR 15.556992
data/Set68/test043.png PSNR 16.009144
data/Set68/test044.png PSNR 15.686633
data/Set68/test045.png PSNR 15.429340
data/Set68/test046.png PSNR 15.502704
data/Set68/test047.png PSNR 15.414917
data/Set68/test048.png PSNR 15.804142
data/Set68/test049.png PSNR 15.494031
data/Set68/test050.png PSNR 15.415910
data/Set68/test051.png PSNR 15.429044
data/Set68/test052.png PSNR 15.430404
data/Set68/test053.png PSNR 15.418126
data/Set68/test054.png PSNR 15.427735
data/Set68/test055.png PSNR 15.452911
data/Set68/test056.png PSNR 15.411411
data/Set68/test057.png PSNR 15.611291
data/Set68/test058.png PSNR 15.427136
data/Set68/test059.png PSNR 15.546181
data/Set68/test060.png PSNR 15.424020
data/Set68/test061.png PSNR 15.554756
data/Set68/test062.png PSNR 18.777103
data/Set68/test063.png PSNR 15.739419
data/Set68/test064.png PSNR 15.519439
data/Set68/test065.png PSNR 17.182131
data/Set68/test066.png PSNR 15.567849
data/Set68/test067.png PSNR 15.527319
data/Set68/test068.png PSNR 15.857759

PSNR on test data 15.773874
