Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 7.920707
data/Set68/test002.png PSNR 8.484260
data/Set68/test003.png PSNR 8.261860
data/Set68/test004.png PSNR 8.125899
data/Set68/test005.png PSNR 8.736648
data/Set68/test006.png PSNR 8.744870
data/Set68/test007.png PSNR 7.934291
data/Set68/test008.png PSNR 7.803269
data/Set68/test009.png PSNR 7.656575
data/Set68/test010.png PSNR 8.248510
data/Set68/test011.png PSNR 7.917254
data/Set68/test012.png PSNR 8.178377
data/Set68/test013.png PSNR 8.415289
data/Set68/test014.png PSNR 8.091062
data/Set68/test015.png PSNR 7.969488
data/Set68/test016.png PSNR 8.105167
data/Set68/test017.png PSNR 7.706972
data/Set68/test018.png PSNR 8.075188
data/Set68/test019.png PSNR 8.147999
data/Set68/test020.png PSNR 8.129993
data/Set68/test021.png PSNR 7.977201
data/Set68/test022.png PSNR 7.898855
data/Set68/test023.png PSNR 8.620390
data/Set68/test024.png PSNR 7.760946
data/Set68/test025.png PSNR 7.990439
data/Set68/test026.png PSNR 8.183863
data/Set68/test027.png PSNR 8.048842
data/Set68/test028.png PSNR 7.446628
data/Set68/test029.png PSNR 7.969602
data/Set68/test030.png PSNR 8.443498
data/Set68/test031.png PSNR 8.103668
data/Set68/test032.png PSNR 8.290503
data/Set68/test033.png PSNR 8.401500
data/Set68/test034.png PSNR 8.329492
data/Set68/test035.png PSNR 7.987804
data/Set68/test036.png PSNR 8.600988
data/Set68/test037.png PSNR 8.339497
data/Set68/test038.png PSNR 8.029982
data/Set68/test039.png PSNR 8.293168
data/Set68/test040.png PSNR 8.347379
data/Set68/test041.png PSNR 7.817095
data/Set68/test042.png PSNR 8.226240
data/Set68/test043.png PSNR 7.921674
data/Set68/test044.png PSNR 8.382827
data/Set68/test045.png PSNR 8.426227
data/Set68/test046.png PSNR 8.241667
data/Set68/test047.png PSNR 8.278724
data/Set68/test048.png PSNR 8.098619
data/Set68/test049.png PSNR 8.273052
data/Set68/test050.png PSNR 8.658449
data/Set68/test051.png PSNR 8.250708
data/Set68/test052.png PSNR 8.794304
data/Set68/test053.png PSNR 8.896028
data/Set68/test054.png PSNR 8.500564
data/Set68/test055.png PSNR 7.940827
data/Set68/test056.png PSNR 8.538301
data/Set68/test057.png PSNR 8.062204
data/Set68/test058.png PSNR 8.642511
data/Set68/test059.png PSNR 8.182703
data/Set68/test060.png PSNR 8.340144
data/Set68/test061.png PSNR 8.075430
data/Set68/test062.png PSNR 7.309545
data/Set68/test063.png PSNR 8.010659
data/Set68/test064.png PSNR 8.191096
data/Set68/test065.png PSNR 7.585406
data/Set68/test066.png PSNR 8.509511
data/Set68/test067.png PSNR 8.161365
data/Set68/test068.png PSNR 8.032221

PSNR on test data 8.177441
