Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.639218
data/Set68/test002.png PSNR 28.725399
data/Set68/test003.png PSNR 28.535491
data/Set68/test004.png PSNR 29.537661
data/Set68/test005.png PSNR 26.207591
data/Set68/test006.png PSNR 32.034549
data/Set68/test007.png PSNR 27.633478
data/Set68/test008.png PSNR 25.127603
data/Set68/test009.png PSNR 27.943671
data/Set68/test010.png PSNR 28.673037
data/Set68/test011.png PSNR 27.276912
data/Set68/test012.png PSNR 27.390842
data/Set68/test013.png PSNR 28.529106
data/Set68/test014.png PSNR 29.614543
data/Set68/test015.png PSNR 26.136687
data/Set68/test016.png PSNR 26.932505
data/Set68/test017.png PSNR 31.944097
data/Set68/test018.png PSNR 31.863032
data/Set68/test019.png PSNR 26.455574
data/Set68/test020.png PSNR 27.577320
data/Set68/test021.png PSNR 25.025572
data/Set68/test022.png PSNR 25.864608
data/Set68/test023.png PSNR 27.447594
data/Set68/test024.png PSNR 27.601396
data/Set68/test025.png PSNR 28.458629
data/Set68/test026.png PSNR 27.643940
data/Set68/test027.png PSNR 28.943562
data/Set68/test028.png PSNR 31.735708
data/Set68/test029.png PSNR 22.329002
data/Set68/test030.png PSNR 28.808678
data/Set68/test031.png PSNR 23.158265
data/Set68/test032.png PSNR 25.570371
data/Set68/test033.png PSNR 26.413542
data/Set68/test034.png PSNR 32.392184
data/Set68/test035.png PSNR 26.954002
data/Set68/test036.png PSNR 26.438125
data/Set68/test037.png PSNR 27.480648
data/Set68/test038.png PSNR 27.945144
data/Set68/test039.png PSNR 31.891972
data/Set68/test040.png PSNR 28.334757
data/Set68/test041.png PSNR 26.642345
data/Set68/test042.png PSNR 28.398161
data/Set68/test043.png PSNR 29.422313
data/Set68/test044.png PSNR 26.017339
data/Set68/test045.png PSNR 32.184746
data/Set68/test046.png PSNR 25.266793
data/Set68/test047.png PSNR 25.563214
data/Set68/test048.png PSNR 28.447908
data/Set68/test049.png PSNR 30.640742
data/Set68/test050.png PSNR 25.752228
data/Set68/test051.png PSNR 27.311271
data/Set68/test052.png PSNR 31.034699
data/Set68/test053.png PSNR 30.220091
data/Set68/test054.png PSNR 28.003737
data/Set68/test055.png PSNR 26.576467
data/Set68/test056.png PSNR 22.333670
data/Set68/test057.png PSNR 27.142982
data/Set68/test058.png PSNR 30.085407
data/Set68/test059.png PSNR 29.239786
data/Set68/test060.png PSNR 30.019667
data/Set68/test061.png PSNR 28.920312
data/Set68/test062.png PSNR 32.400201
data/Set68/test063.png PSNR 25.247988
data/Set68/test064.png PSNR 25.710304
data/Set68/test065.png PSNR 27.986731
data/Set68/test066.png PSNR 36.502289
data/Set68/test067.png PSNR 23.511228
data/Set68/test068.png PSNR 24.666302

PSNR on test data 27.918602
