Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.619555
data/Set68/test002.png PSNR 28.791121
data/Set68/test003.png PSNR 28.541239
data/Set68/test004.png PSNR 29.433247
data/Set68/test005.png PSNR 26.294379
data/Set68/test006.png PSNR 31.960435
data/Set68/test007.png PSNR 27.523050
data/Set68/test008.png PSNR 25.060828
data/Set68/test009.png PSNR 27.934649
data/Set68/test010.png PSNR 28.576701
data/Set68/test011.png PSNR 27.227865
data/Set68/test012.png PSNR 27.289364
data/Set68/test013.png PSNR 28.530806
data/Set68/test014.png PSNR 29.488358
data/Set68/test015.png PSNR 26.124750
data/Set68/test016.png PSNR 26.883818
data/Set68/test017.png PSNR 31.784714
data/Set68/test018.png PSNR 31.712784
data/Set68/test019.png PSNR 26.383705
data/Set68/test020.png PSNR 27.533979
data/Set68/test021.png PSNR 25.011578
data/Set68/test022.png PSNR 25.828972
data/Set68/test023.png PSNR 27.481098
data/Set68/test024.png PSNR 27.492378
data/Set68/test025.png PSNR 28.325263
data/Set68/test026.png PSNR 27.602702
data/Set68/test027.png PSNR 28.838542
data/Set68/test028.png PSNR 31.815600
data/Set68/test029.png PSNR 22.427754
data/Set68/test030.png PSNR 28.746112
data/Set68/test031.png PSNR 23.152352
data/Set68/test032.png PSNR 25.514583
data/Set68/test033.png PSNR 26.420128
data/Set68/test034.png PSNR 32.184180
data/Set68/test035.png PSNR 26.938914
data/Set68/test036.png PSNR 26.444155
data/Set68/test037.png PSNR 27.414060
data/Set68/test038.png PSNR 27.887316
data/Set68/test039.png PSNR 31.529431
data/Set68/test040.png PSNR 28.314794
data/Set68/test041.png PSNR 26.604400
data/Set68/test042.png PSNR 28.321561
data/Set68/test043.png PSNR 29.091407
data/Set68/test044.png PSNR 25.953416
data/Set68/test045.png PSNR 32.046586
data/Set68/test046.png PSNR 25.165748
data/Set68/test047.png PSNR 25.595038
data/Set68/test048.png PSNR 28.425610
data/Set68/test049.png PSNR 30.498316
data/Set68/test050.png PSNR 25.808188
data/Set68/test051.png PSNR 27.229412
data/Set68/test052.png PSNR 31.002838
data/Set68/test053.png PSNR 30.233119
data/Set68/test054.png PSNR 27.988700
data/Set68/test055.png PSNR 26.486398
data/Set68/test056.png PSNR 22.422271
data/Set68/test057.png PSNR 27.017004
data/Set68/test058.png PSNR 30.054148
data/Set68/test059.png PSNR 29.227774
data/Set68/test060.png PSNR 30.037538
data/Set68/test061.png PSNR 28.870280
data/Set68/test062.png PSNR 32.045171
data/Set68/test063.png PSNR 25.207806
data/Set68/test064.png PSNR 25.657863
data/Set68/test065.png PSNR 27.883426
data/Set68/test066.png PSNR 36.236498
data/Set68/test067.png PSNR 23.610407
data/Set68/test068.png PSNR 24.645648

PSNR on test data 27.859292
