Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.477177
data/Set68/test002.png PSNR 27.109877
data/Set68/test003.png PSNR 26.839927
data/Set68/test004.png PSNR 27.419711
data/Set68/test005.png PSNR 25.676476
data/Set68/test006.png PSNR 28.318820
data/Set68/test007.png PSNR 26.308757
data/Set68/test008.png PSNR 24.653340
data/Set68/test009.png PSNR 26.752238
data/Set68/test010.png PSNR 26.911509
data/Set68/test011.png PSNR 26.406836
data/Set68/test012.png PSNR 25.914566
data/Set68/test013.png PSNR 26.661311
data/Set68/test014.png PSNR 27.472458
data/Set68/test015.png PSNR 25.418580
data/Set68/test016.png PSNR 25.857660
data/Set68/test017.png PSNR 28.592821
data/Set68/test018.png PSNR 28.352039
data/Set68/test019.png PSNR 26.117406
data/Set68/test020.png PSNR 26.508762
data/Set68/test021.png PSNR 24.644505
data/Set68/test022.png PSNR 25.091264
data/Set68/test023.png PSNR 26.195069
data/Set68/test024.png PSNR 26.272173
data/Set68/test025.png PSNR 26.679014
data/Set68/test026.png PSNR 26.291340
data/Set68/test027.png PSNR 27.040207
data/Set68/test028.png PSNR 29.381136
data/Set68/test029.png PSNR 23.214336
data/Set68/test030.png PSNR 26.659308
data/Set68/test031.png PSNR 23.263469
data/Set68/test032.png PSNR 24.877811
data/Set68/test033.png PSNR 25.837991
data/Set68/test034.png PSNR 28.522678
data/Set68/test035.png PSNR 26.154653
data/Set68/test036.png PSNR 25.495365
data/Set68/test037.png PSNR 26.341400
data/Set68/test038.png PSNR 26.478611
data/Set68/test039.png PSNR 28.451660
data/Set68/test040.png PSNR 26.642610
data/Set68/test041.png PSNR 25.874317
data/Set68/test042.png PSNR 26.741246
data/Set68/test043.png PSNR 27.221826
data/Set68/test044.png PSNR 25.307490
data/Set68/test045.png PSNR 28.092893
data/Set68/test046.png PSNR 24.790473
data/Set68/test047.png PSNR 24.824032
data/Set68/test048.png PSNR 26.981117
data/Set68/test049.png PSNR 27.882827
data/Set68/test050.png PSNR 25.243397
data/Set68/test051.png PSNR 25.939912
data/Set68/test052.png PSNR 27.959592
data/Set68/test053.png PSNR 27.738362
data/Set68/test054.png PSNR 26.322608
data/Set68/test055.png PSNR 25.573098
data/Set68/test056.png PSNR 22.951583
data/Set68/test057.png PSNR 26.042420
data/Set68/test058.png PSNR 27.586246
data/Set68/test059.png PSNR 27.297461
data/Set68/test060.png PSNR 27.386085
data/Set68/test061.png PSNR 27.177879
data/Set68/test062.png PSNR 29.214253
data/Set68/test063.png PSNR 24.980525
data/Set68/test064.png PSNR 25.028101
data/Set68/test065.png PSNR 26.731304
data/Set68/test066.png PSNR 29.088344
data/Set68/test067.png PSNR 23.500143
data/Set68/test068.png PSNR 24.647489

PSNR on test data 26.373969
