Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.790930
data/Set68/test002.png PSNR 27.873918
data/Set68/test003.png PSNR 27.409712
data/Set68/test004.png PSNR 28.168891
data/Set68/test005.png PSNR 26.005713
data/Set68/test006.png PSNR 29.482548
data/Set68/test007.png PSNR 26.925226
data/Set68/test008.png PSNR 25.034209
data/Set68/test009.png PSNR 27.234653
data/Set68/test010.png PSNR 27.514465
data/Set68/test011.png PSNR 26.803066
data/Set68/test012.png PSNR 26.394200
data/Set68/test013.png PSNR 27.330739
data/Set68/test014.png PSNR 27.999545
data/Set68/test015.png PSNR 25.851695
data/Set68/test016.png PSNR 26.306904
data/Set68/test017.png PSNR 29.681577
data/Set68/test018.png PSNR 29.461801
data/Set68/test019.png PSNR 26.510346
data/Set68/test020.png PSNR 27.023042
data/Set68/test021.png PSNR 24.903096
data/Set68/test022.png PSNR 25.560449
data/Set68/test023.png PSNR 26.659956
data/Set68/test024.png PSNR 26.970054
data/Set68/test025.png PSNR 27.469067
data/Set68/test026.png PSNR 26.857002
data/Set68/test027.png PSNR 27.674781
data/Set68/test028.png PSNR 30.675846
data/Set68/test029.png PSNR 23.305377
data/Set68/test030.png PSNR 27.424735
data/Set68/test031.png PSNR 23.376786
data/Set68/test032.png PSNR 25.218805
data/Set68/test033.png PSNR 26.081153
data/Set68/test034.png PSNR 29.498352
data/Set68/test035.png PSNR 26.500209
data/Set68/test036.png PSNR 25.765182
data/Set68/test037.png PSNR 26.907007
data/Set68/test038.png PSNR 27.132909
data/Set68/test039.png PSNR 29.322570
data/Set68/test040.png PSNR 27.116881
data/Set68/test041.png PSNR 26.382559
data/Set68/test042.png PSNR 27.442352
data/Set68/test043.png PSNR 28.061082
data/Set68/test044.png PSNR 25.749979
data/Set68/test045.png PSNR 29.103846
data/Set68/test046.png PSNR 24.956778
data/Set68/test047.png PSNR 25.160388
data/Set68/test048.png PSNR 27.578974
data/Set68/test049.png PSNR 28.881502
data/Set68/test050.png PSNR 25.493619
data/Set68/test051.png PSNR 26.352926
data/Set68/test052.png PSNR 28.885885
data/Set68/test053.png PSNR 28.498198
data/Set68/test054.png PSNR 26.823848
data/Set68/test055.png PSNR 26.089777
data/Set68/test056.png PSNR 23.012479
data/Set68/test057.png PSNR 26.551632
data/Set68/test058.png PSNR 28.263827
data/Set68/test059.png PSNR 27.942473
data/Set68/test060.png PSNR 28.138978
data/Set68/test061.png PSNR 27.864501
data/Set68/test062.png PSNR 30.499209
data/Set68/test063.png PSNR 25.243216
data/Set68/test064.png PSNR 25.414428
data/Set68/test065.png PSNR 27.384925
data/Set68/test066.png PSNR 30.448578
data/Set68/test067.png PSNR 23.670062
data/Set68/test068.png PSNR 24.942789

PSNR on test data 26.956797
